First Name,Last Name,Employee Number,CR Number,Curriculum,Group Id,Group,Score,Passing Score,Stage Number,Stage,Learner Id,Date Completed,Expiration Date,Registration Date,User Name,Institutional User Name,Institutional Language,Email,Gender,Highest Degree,Department,Address Field 1,Address Field 2,Address Field 3,City,State,Zip Code,Country,Phone,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Module,Module Number,Exam Id,Exam Score,Module Completion Date,Status Code
ALAN ,MCAFEE,aemcafee,9051039,Responsible Conduct of Research for Engineers,11111,Responsible Conduct of Research for Engineers,82,80,1,Basic Course,665334,2/7/14 15:45,2/7/16 15:45,1/1/2014,aemcafee,aemcafee,French,kcnotification@gmail.com,Male,BA,Biology,1,2,3,washington,DC,20009,US,202-555-5555,extra data,blah,blah blah,flah,slah,module,1,34552,50,1/15/2014,6
ALTHEA,BURD,burd,9175480,Responsible Conduct of Research for Engineers,11111,Responsible Conduct of Research for Engineers,90,80,1,Basic Course,1235532,6/29/15 14:03,6/29/17 14:03,1/1/2014,burd,burd,German,kcnotification@gmail.com,M,PHD,Bio,45,6,7,washington,DC,20007,US,301-555-5555,extra data,blah,blah blah,flah,slah,mod,2,3,50,,8
CECILE,CARY,cary,9188330,Human Research,300,Social & Behavioral Research Investigators,100,90,1,Basic Course,,4/24/15 21:41,4/24/2017,,cary,cary,,,,,,,,,,,,,,,,,,,,,,,,
Allyson,Cate,cate,9195111,Biomedical Responsible Conduct of Research,400,Biomedical Responsible Conduct of Research,50,80,1,Basic Course,,10/5/15 2:28,,,cate,cate,,,,,,,,,,,,,,failed score,,,,,,,,,,
Inez,Chew,chew,9195770,Physical Science Responsible Conduct of Research,500,Physical Science Responsible Conduct of Research,91,80,1,Basic Course,,11/29/15 10:54,11/29/17 10:54,,chew,chew,,,,,,,,,,,,,,No training code,,,,,,,,,,
TREVOR,DUGGINS,duggins,9188330,Human Research,300,Social & Behavioral Research Investigators,37,90,1,Basic Course,,10/29/13 3:56,,,duggins,duggins,,,,,,,,,,,,,,failed score,,,,,,,,,,
EMORY,EAGLE,eagle,9205231,CITI Conflicts of Interest,12,NIH/PHS Conflict of Interest Course,88,80,1,Stage 1,,5/1/15 15:38,5/1/16 15:38,,eagle,eagle,,,,,,,,,,,,,,multiple courses per person,,,,,,,,,,
EMORY,EAGLE,eagle,9227246,Human Research,300,Social & Behavioral Research Investigators,90,90,1,Basic Course,,5/1/15 16:56,5/1/17 16:56,,eagle,eagle,,,,,,,,,,,,,,multiple courses per person,,,,,,,,,,
Jane ,Doe,jdoe,9227247,Aseptic Surgery,4,Aseptic surgery,100,90,1,Lab Animal Research,,4/16/14 11:54,4/16/16 11:54,,jdoe,jdoe,,,,,,,,,,,,,,no person record,,,,,,,,,,
Jenny,Jones,jenjones,9059996,Human Research,300,Social & Behavioral Research Investigators,90,90,1,Basic Course,,4/16/16 20:39,4/16/18 20:39,,jenjones,jenjones,,,,,,,,,,,,,,,,,,,,,,,,
Joseph A,Schultz,1111111111,9059995,Human Research,5,Biomedical Research Investigators,93,90,2,Refresher,,4/1/16 15:53,4/1/17 15:53,,jschultz,jschultz,,,,,,,,,,,,,,,,,,,,,,,,
Joe,Tester,jtester,9246200,Human Research,5,Biomedical Research Investigators,97,90,1,Basic Course,,9/25/13 2:16,9/25/14 2:16,,jtester,jtester,,,,,,,,,,,,,,,,,,,,,,,,
Opal,Blood,oblood,9088645,Working with Mice in Research Settings,10,Working with Mice in Research,100,90,1,Lab Animal Research,,12/28/15 22:16,12/28/16 22:16,,oblood,oblood,,,,,,,,,,,,,,multiple courses per person,,,,,,,,,,
Opal,Blood,oblood,9105170,Aseptic Surgery,4,Aseptic surgery,100,90,1,Lab Animal Research,,12/28/15 18:52,12/28/17 18:52,,oblood,oblood,,,,,,,,,,,,,,multiple courses per person,,,,,,,,,,
Opal,Blood,oblood,9263976,Working with Rats in Research Settings,7,Working with Rats in Research Settings,92,90,1,Lab Animal Research,,12/28/15 22:31,12/28/16 22:31,,oblood,oblood,,,,,,,,,,,,,,multiple courses per person,,,,,,,,,,
Roger,Rabbit,10000000059,9113967,Working with Rats in Research Settings,7,Working with Rats in Research Settings,100,90,1,Lab Animal Research,,3/31/15 22:00,3/31/17 22:00,,rrabbit,rrabbit,,,,,,,,,,,,,,Fail and pass,,,,,,,,,,
Roger,Rabbit,10000000059,9285395,Working with Rats in Research Settings,7,Working with Rats in Research Settings,50,90,1,Lab Animal Research,,3/31/15 13:37,,,rrabbit,rrabbit,,,,,,,,,,,,,,fail and pass,,,,,,,,,,
