"ENTITY_NM_ID","ENTITY_ID","NM_TYP_CD","FIRST_NM","MIDDLE_NM","LAST_NM","SUFFIX_NM","TITLE_NM","DFLT_IND","ACTV_IND","OBJ_ID","VER_NBR"
"KC10001","KC10001","PRFR","Joe","","Tester","","","Y","Y","AAE016CCF3915107E040DC0A1F8A7C64","1"
"KC10002","KC10002","PRFR","KULUSER","","KULUSER","","","Y","N","AAE016CCF3935107E040DC0A1F8A7C64","1"
"KC10003","KC10003","PRFR","Nicholas","","Majors","","","Y","Y","AAE016CCF3955107E040DC0A1F8A7C64","1"
"KC10004","KC10004","PRFR","Inez","","Chew","","","Y","Y","AAE016CCF3975107E040DC0A1F8A7C64","1"
"KC10005","KC10005","PRFR","Della","","Woods","","","Y","Y","AAE016CCF3995107E040DC0A1F8A7C64","1"
"KC10006","KC10006","PRFR","Opal","","Blood","","","Y","Y","AAE016CCF39B5107E040DC0A1F8A7C64","1"
"KC10007","KC10007","PRFR","Allyson","","Cate","","","Y","Y","AAE016CCF39D5107E040DC0A1F8A7C64","1"
"KC10008","KC10008","PRFR","JAY","","HOULIHAN","","","Y","Y","AAE016CCF39F5107E040DC0A1F8A7C64","1"
"KC10009","KC10009","PRFR","RAYMOND","","PAULIN","","","Y","Y","AAE016CCF3A15107E040DC0A1F8A7C64","1"
"KC10010","KC10010","PRFR","DOMINIC","","NUGENT","","","Y","Y","AAE016CCF3A35107E040DC0A1F8A7C64","1"
"KC10011","KC10011","PRFR","MARLON","","SHORTER","","","Y","Y","AAE016CCF3A55107E040DC0A1F8A7C64","1"
"KC10012","KC10012","PRFR","MARGUERITE","","UNDERWOOD","","","Y","Y","AAE016CCF3A75107E040DC0A1F8A7C64","1"
"KC10013","KC10013","PRFR","HIRAM","","EUBANK","","","Y","Y","AAE016CCF3A95107E040DC0A1F8A7C64","1"
"KC10014","KC10014","PRFR","LLOYD","","BARGER","","","Y","Y","AAE016CCF3AB5107E040DC0A1F8A7C64","1"
"KC10015","KC10015","PRFR","JUANA","","KAHLER","","","Y","Y","AAE016CCF3AD5107E040DC0A1F8A7C64","1"
"KC10016","KC10016","PRFR","ELBA","","BYLER","","","Y","Y","AAE016CCF3AF5107E040DC0A1F8A7C64","1"
"KC10017","KC10017","PRFR","ALAN","","MCAFEE","","","Y","Y","AAE016CCF3B15107E040DC0A1F8A7C64","1"
"KC10018","KC10018","PRFR","HENRY","","WESTFALL","","","Y","Y","AAE016CCF3B35107E040DC0A1F8A7C64","1"
"KC10019","KC10019","PRFR","BURT","","SHANKLE","","","Y","Y","AAE016CCF3B55107E040DC0A1F8A7C64","1"
"KC10020","KC10020","PRFR","ROBERTA","","FERLAND","","","Y","Y","AAE016CCF3B75107E040DC0A1F8A7C64","1"
"KC10021","KC10021","PRFR","KENDRICK","","CRABTREE","","","Y","Y","AAE016CCF3B95107E040DC0A1F8A7C64","1"
"KC10022","KC10022","PRFR","OLIVE","","FELKER","","","Y","Y","AAE016CCF3BB5107E040DC0A1F8A7C64","1"
"KC10023","KC10023","PRFR","AUDREY","","MARTIN","","","Y","Y","AAE016CCF3BD5107E040DC0A1F8A7C64","1"
"KC10024","KC10024","PRFR","EVERETTE","","STERNER","","","Y","Y","AAE016CCF3BF5107E040DC0A1F8A7C64","1"
"KC10025","KC10025","PRFR","CORINA","","BAYLESS","","","Y","Y","AAE016CCF3C15107E040DC0A1F8A7C64","1"
"KC10026","KC10026","PRFR","THEODORE","","KATO","","","Y","Y","AAE016CCF3C35107E040DC0A1F8A7C64","1"
"KC10027","KC10027","PRFR","CLAUDIA","","HOVIS","","","Y","Y","AAE016CCF3C55107E040DC0A1F8A7C64","1"
