"RSP_ID","NMSPC_CD","NM","DESC_TXT","ACTV_IND","RSP_TMPL_ID","OBJ_ID","VER_NBR"
"10010","KC-WKFLW","IRB Review","Protocol Document - IRBReview","Y","1","AA3F29ECA69077DAE040DC0A1F8A01CC","1"
"10011","KC-WKFLW","IRB Receipt","Protocol Document - IRBReceipt","Y","1","AA3F29ECA69577DAE040DC0A1F8A01CC","1"
"10012","KC-WKFLW","Award Budget InitialApproval","Award Budget Document - Initial Approval","Y","1","AA3F29ECA69A77DAE040DC0A1F8A01CC","1"
"10013","KC-WKFLW","Award Budget OSPApproval","Award Budget Document - OSP Approval","Y","1","AA3F29ECA69F77DAE040DC0A1F8A01CC","1"
"10014","KC-WKFLW","IRB Reviewer Approve Online Review","Protocol Document - IRB Reviewer approves online review","Y","1","AA3F29ECA6A477DAE040DC0A1F8A01CC","1"
"10015","KC-WKFLW","IRB Admin Approve Online Review","Protocol Online Review Document - IRB Admin approves online review","Y","1","AA3F29ECA6A977DAE040DC0A1F8A01CC","1"
"10016","KC-WKFLW","IRB Admin Approve Review Request","Protocol Online Review Document - IRB Admin approves online review request made by PI during protocol submission.","Y","1","AA3F29ECA6AE77DAE040DC0A1F8A01CC","1"
"10017","KC-WKFLW","ProtocolUnitApprovalResponsibility","ProtocolUnitApprovalResponsibility","Y","1","AA3F29ECA6B377DAE040DC0A1F8A01CC","1"
"1002","KC-WKFLW","Proposal Initial Approval","Proposal Development Document - Initial Approval","Y","1","AA3F29ECA66877DAE040DC0A1F8A01CC","1"
"1003","KC-WKFLW","Proposal OSP Office Approval","Proposal Development Document - OSP Office Approval","Y","1","AA3F29ECA66D77DAE040DC0A1F8A01CC","1"
"1004","KC-WKFLW","Proposal Persons Approval","Proposal Development Document - Key Personnel Approval","Y","1","AA3F29ECA67277DAE040DC0A1F8A01CC","1"
"1005","KC-WKFLW","Proposal Custom Approval","Proposal Development Document - Custom Approval","Y","1","AA3F29ECA67777DAE040DC0A1F8A01CC","1"
"1006","KC-WKFLW","Proposal Departmental Approval","Proposal Development Document - Departmental Approval","Y","1","AA3F29ECA67C77DAE040DC0A1F8A01CC","1"
"1007","KC-WKFLW","IRB Approve","Protocol Document - IRBApprove","Y","1","AA3F29ECA68177DAE040DC0A1F8A01CC","1"
"1008","KC-WKFLW","IRB AssignedToCommittee","Protocol Document - AssignedToCommittee","Y","1","AA3F29ECA68677DAE040DC0A1F8A01CC","1"
"1009","KC-WKFLW","IRB AssignedToAgenda","Protocol Document - AssignedToAgenda","Y","1","AA3F29ECA68B77DAE040DC0A1F8A01CC","1"
